Date,High,Close,Low,Index
2015/9/21,"4,573.52","4,570.03","4,385.99",772
2015/9/22,"4,652.10","4,604.73","4,556.82",773
2015/9/23,"4,591.79","4,533.30","4,499.82",774
2015/9/24,"4,595.91","4,581.45","4,528.27",775
2015/9/25,"4,588.70","4,463.49","4,428.44",776
2015/9/28,"4,523.71","4,521.85","4,401.88",777
2015/9/29,"4,490.43","4,440.56","4,410.86",778
2015/9/30,"4,488.28","4,460.10","4,426.41",779
2015/10/8,"4,655.81","4,615.69","4,578.30",780
2015/10/9,"4,698.90","4,681.41","4,605.93",781
2015/10/12,"4,899.90","4,852.99","4,698.98",782
2015/10/13,"4,896.84","4,886.25","4,802.78",783
2015/10/14,"4,907.03","4,829.10","4,821.46",784
2015/10/15,"4,962.72","4,962.58","4,813.06",785
2015/10/16,"5,040.12","5,036.52","4,944.69",786
2015/10/19,"5,084.63","5,036.66","4,977.96",787
2015/10/20,"5,114.45","5,114.45","5,005.08",788
2015/10/21,"5,137.62","4,875.25","4,830.08",789
2015/10/22,"5,015.59","5,009.16","4,850.07",790
2015/10/23,"5,137.15","5,118.84","5,017.56",791
2015/10/26,"5,193.79","5,151.29","5,095.01",792
2015/10/27,"5,194.16","5,174.62","4,971.61",793
2015/10/28,"5,195.34","5,065.55","5,048.59",794
2015/10/29,"5,144.20","5,096.52","5,037.45",795
2015/10/30,"5,153.80","5,090.64","5,023.30",796
2015/11/2,"5,114.81","4,989.70","4,981.72",797
2015/11/3,"5,031.90","4,978.49","4,948.39",798
2015/11/4,"5,221.36","5,221.36","4,999.04",799
2015/11/5,"5,345.91","5,274.37","5,222.01",800
2015/11/6,"5,410.40","5,401.92","5,270.92",801
2015/11/9,"5,517.94","5,481.53","5,375.89",802
2015/11/10,"5,534.16","5,498.48","5,433.37",803
2015/11/11,"5,556.44","5,551.08","5,467.58",804
2015/11/12,"5,574.82","5,533.36","5,475.64",805
2015/11/13,"5,520.33","5,445.36","5,398.22",806
2015/11/16,"5,526.62","5,526.14","5,344.58",807
2015/11/17,"5,626.60","5,497.87","5,486.37",808
2015/11/18,"5,527.93","5,419.63","5,405.91",809
2015/11/19,"5,542.65","5,542.25","5,425.02",810
2015/11/20,"5,613.65","5,592.71","5,540.10",811
2015/11/23,"5,642.68","5,554.99","5,535.55",812
2015/11/24,"5,587.88","5,587.51","5,483.06",813
2015/11/25,"5,669.07","5,668.74","5,578.73",814
2015/11/26,"5,703.26","5,636.34","5,627.65",815
2015/11/27,"5,618.22","5,306.07","5,268.11",816
2015/11/30,"5,363.23","5,330.91","5,093.79",817
2015/12/1,"5,400.39","5,345.86","5,289.35",818
2015/12/2,"5,404.53","5,402.59","5,244.84",819
2015/12/3,"5,497.22","5,496.62","5,394.99",820
2015/12/4,"5,500.76","5,439.65","5,409.76",821
2015/12/7,"5,493.10","5,488.94","5,415.02",822
2015/12/8,"5,461.22","5,385.93","5,377.24",823
2015/12/9,"5,419.57","5,384.63","5,350.64",824
2015/12/10,"5,431.96","5,371.41","5,359.12",825
